"jobpost","date","Title","Company","AnnouncementCode","Term","Eligibility","Audience","StartDate","Duration","Location","JobDescription","JobRequirment","RequiredQual","Salary","ApplicationP","OpeningDate","Deadline","Notes","AboutC","Attach","Year","Month","IT"
"Accept Employment Agency
TITLE:  Biologist
TERM:  Full-time
START DATE/ TIME:  Immediately
LOCATION:  Yerevan, Armenia
JOB DESCRIPTION:  We are seeking highly motivated individuals to work on
testing and reserching plants.
JOB RESPONSIBILITIES:  Test and treat plants.
REQUIRED QUALIFICATIONS:
- BS degree in Biology with at least 3 years of laboratory experience;
- Fluent in Russian and Armenian languages.
REMUNERATION/ SALARY:  50. 000-100. 000 AMD
APPLICATION PROCEDURES:  Please call: 58-49-45, 58-49-95, or send CV in
Russian to: accept@....
Please clearly mention in your application letter that you learned of
this job opportunity through Career Center and mention the URL of its
website - www.careercenter.am, Thanks.
OPENING DATE:  08 July 2005
APPLICATION DEADLINE:  12 July 2005
----------------------------------
To place a free posting for job or other career-related opportunities
available in your organization, just go to the www.careercenter.am
website and follow the ""Post an Announcement"" link.","Jul 8, 2005","Biologist","Accept Employment Agency","NA","Full-time","NA","NA","Immediately","NA","Yerevan, Armenia","We are seeking highly motivated individuals to work on
testing and reserching plants.","Test and treat plants.","- BS degree in Biology with at least 3 years of laboratory experience;
- Fluent in Russian and Armenian languages.","50. 000-100. 000 AMD","Please call: 58-49-45, 58-49-95, or send CV in
Russian to: accept@....
Please clearly mention in your application letter that you learned of
this job opportunity through Career Center and mention the URL of its
website - www.careercenter.am, Thanks.","08 July 2005","12 July 2005","NA","NA","NA","2005","7","FALSE"
"Armenian Public Relations Associaton
TITLE:  Project Manager
START DATE/ TIME:  Immediately
DURATION:  One year
LOCATION:  Yerevan, Armenia
JOB DESCRIPTION:  N/A
JOB RESPONSIBILITIES:
- Coordinate and manage Armenian Public Relations  Association projects 
related to the implementation  of e-government solutions, public
awareness campaigns and media relations;
- Prepare project proposals, liaise with donors and  partners,
association members;
- Coordinate support staff work, prepare financial  and narrative
reports to donors, perform other duties as  required.
REQUIRED QUALIFICATIONS:  MBA, Master's degree in international 
economics, international  relations.
REMUNERATION/ SALARY:  Competitive
APPLICATION PROCEDURES:  Send your resume and letter of intent to:info@... attention: Anush Begloian, Executive Director. No phone
calls please.
Please clearly mention in your application letter that you learned of
this job opportunity through Career Center and mention the URL of its
website - www.careercenter.am, Thanks.
OPENING DATE:  08 July  2005
APPLICATION DEADLINE:  22 July 2005
----------------------------------
To place a free posting for job or other career-related opportunities
available in your organization, just go to the www.careercenter.am
website and follow the ""Post an Announcement"" link.","Jul 8, 2005","Project Manager","Armenian Public Relations Associaton","NA","NA","NA","NA","Immediately","One year","Yerevan, Armenia","N/A","- Coordinate and manage Armenian Public Relations  Association projects 
related to the implementation  of e-government solutions, public
awareness campaigns and media relations;
- Prepare project proposals, liaise with donors and  partners,
association members;
- Coordinate support staff work, prepare financial  and narrative
reports to donors, perform other duties as  required.","MBA, Master's degree in international 
economics, international  relations.","Competitive","Send your resume and letter of intent to:info@... attention: Anush Begloian, Executive Director. No phone
calls please.
Please clearly mention in your application letter that you learned of
this job opportunity through Career Center and mention the URL of its
website - www.careercenter.am, Thanks.","08 July  2005","22 July 2005","NA","NA","NA","2005","7","FALSE"
"APG Armenia
TITLE:  Intermediate Java Developers
ANNOUNCEMENT CODE:  SE-0526
OPEN TO/ ELIGIBILITY CRITERIA:  Residents of Armenia
START DATE/ TIME:  01 August 2005
DURATION:  Permanent
LOCATION:  Yerevan, Armenia
JOB DESCRIPTION:  The role involves the design and implementation of
Java components for multiple projects.
JOB RESPONSIBILITIES:
- To produce high quality, well documented code, with low turnaround;
- Mentorship of other Software Engineers.
REQUIRED QUALIFICATIONS:
- Excellent communication skills;
- Good written and verbal communication skills in English language;
- University degree in Computer Science or related discipline;
- Experience in the design, architecture and implementation of
client/server internet systems;
- Expert-level knowledge and experience in Java;
- Excellent understanding of object-oriented design and development
methodologies, source and revision control, quality assurance processes.
REMUNERATION/ SALARY:  Very attractive; benefits
APPLICATION PROCEDURES:  Please send your CV with contact details to:jobs@... or call Vahe by: (374 93) 54-48-74. Please indicate
the position title you are applying for in the subject of your e-mail.
Please clearly mention in your application letter that you learned of
this job opportunity through Career Center and mention the URL of its
website - www.careercenter.am, Thanks.
OPENING DATE:  08 July  2005
APPLICATION DEADLINE:  18 July 2005
ABOUT COMPANY:  APG is a wholly-owned subsidiary of LVFH, a gaming
software developer, based in Vancouver, Canada. LVFH is a public
company.
----------------------------------
To place a free posting for job or other career-related opportunities
available in your organization, just go to the www.careercenter.am
website and follow the ""Post an Announcement"" link.","Jul 11, 2005","Intermediate Java Developers","APG Armenia","SE-0526","NA","Residents of Armenia","NA","01 August 2005","Permanent","Yerevan, Armenia","The role involves the design and implementation of
Java components for multiple projects.","- To produce high quality, well documented code, with low turnaround;
- Mentorship of other Software Engineers.","- Excellent communication skills;
- Good written and verbal communication skills in English language;
- University degree in Computer Science or related discipline;
- Experience in the design, architecture and implementation of
client/server internet systems;
- Expert-level knowledge and experience in Java;
- Excellent understanding of object-oriented design and development
methodologies, source and revision control, quality assurance processes.","Very attractive; benefits","Please send your CV with contact details to:jobs@... or call Vahe by: (374 93) 54-48-74. Please indicate
the position title you are applying for in the subject of your e-mail.
Please clearly mention in your application letter that you learned of
this job opportunity through Career Center and mention the URL of its
website - www.careercenter.am, Thanks.","08 July  2005","18 July 2005","NA","APG is a wholly-owned subsidiary of LVFH, a gaming
software developer, based in Vancouver, Canada. LVFH is a public
company.","NA","2005","7","TRUE"
"APG Armenia
TITLE:  Senior Software Engineer
ANNOUNCEMENT CODE:  SE-0525
TERM:  Full-time
OPEN TO/ ELIGIBILITY CRITERIA:  Residents of Armenia
START DATE/ TIME:  01 August  2005
DURATION:  Permanent
LOCATION:  Yerevan, Armenia
JOB DESCRIPTION:  The role involves the design and the implementation of
multiple components of multiple projects.
JOB RESPONSIBILITIES:
- To produce high quality, well documented code, with low turnaround;
- Mentorship of intermediate-level Software Engineers.
REQUIRED QUALIFICATIONS:
- Excellent communication skills;
- Excellent written and verbal communication skills in English
language;
- BSc or equivalent university degree in Computer Science or related
discipline;
- Experience in the design, architecture and implementation of
client/server internet systems;
- Expert-level knowledge and experience in either Java and/or C++;
- Excellent understanding of object-oriented design and development
methodologies, source and revision control, quality assurance processes.
REMUNERATION/ SALARY:  Very attractive; benefits
APPLICATION PROCEDURES:  Please send your CV with contact details to:jobs@... or call Vahe by: (374 93) 54-48-74.
Please indicate the position title you are applying for in the subject
of your e-mail.
Please clearly mention in your application letter that you learned of
this job opportunity through Career Center and mention the URL of its
website - www.careercenter.am, Thanks.
OPENING DATE:  08 July  2005
APPLICATION DEADLINE:  18 July 2005
ABOUT COMPANY:  APG is a wholly-owned subsidiary of LVFH, a gaming
software developer, based in Vancouver, Canada. LVFH is a public
company.
----------------------------------
To place a free posting for job or other career-related opportunities
available in your organization, just go to the www.careercenter.am
website and follow the ""Post an Announcement"" link.","Jul 11, 2005","Senior Software Engineer","APG Armenia","SE-0525","Full-time","Residents of Armenia","NA","01 August  2005","Permanent","Yerevan, Armenia","The role involves the design and the implementation of
multiple components of multiple projects.","- To produce high quality, well documented code, with low turnaround;
- Mentorship of intermediate-level Software Engineers.","- Excellent communication skills;
- Excellent written and verbal communication skills in English
language;
- BSc or equivalent university degree in Computer Science or related
discipline;
- Experience in the design, architecture and implementation of
client/server internet systems;
- Expert-level knowledge and experience in either Java and/or C++;
- Excellent understanding of object-oriented design and development
methodologies, source and revision control, quality assurance processes.","Very attractive; benefits","Please send your CV with contact details to:jobs@... or call Vahe by: (374 93) 54-48-74.
Please indicate the position title you are applying for in the subject
of your e-mail.
Please clearly mention in your application letter that you learned of
this job opportunity through Career Center and mention the URL of its
website - www.careercenter.am, Thanks.","08 July  2005","18 July 2005","NA","APG is a wholly-owned subsidiary of LVFH, a gaming
software developer, based in Vancouver, Canada. LVFH is a public
company.","NA","2005","7","TRUE"
"APG Armenia
TITLE:  Senior Java Developers
ANNOUNCEMENT CODE:  SE-0527
OPEN TO/ ELIGIBILITY CRITERIA:  Residents of Armenia
START DATE/ TIME:  01 August 2005
DURATION:  Permanent
LOCATION:  Yerevan, Armenia
JOB DESCRIPTION:  The role involves the design and implementation of
Java components for multiple projects.
JOB RESPONSIBILITIES:
- To produce high quality, well documented code, with low turnaround;
- Mentorship of other Software Engineers.
REQUIRED QUALIFICATIONS:
- Excellent communication skills;
- Good written and verbal communication skills in English language;
- University degree in Computer Science or related discipline;
- Experience in the design, architecture and implementation of
client/server internet systems;
- Expert-level knowledge and experience in Java;
- Excellent understanding of object-oriented design and development
methodologies, source and revision control, quality assurance processes.
REMUNERATION/ SALARY:  Very attractive; benefits
APPLICATION PROCEDURES:  Please send your CV with contact details to:jobs@... or call Vahe by: (374 93) 54-48-74. Please indicate
the position title you are applying for in the subject of your e-mail.
Please clearly mention in your application letter that you learned of
this job opportunity through Career Center and mention the URL of its
website - www.careercenter.am, Thanks.
OPENING DATE:  08 July  2005
APPLICATION DEADLINE:  18 July 2005
ABOUT COMPANY:  APG is a wholly-owned subsidiary of LVFH, a gaming
software developer, based in Vancouver, Canada. LVFH is a public
company.
----------------------------------
To place a free posting for job or other career-related opportunities
available in your organization, just go to the www.careercenter.am
website and follow the ""Post an Announcement"" link.","Jul 11, 2005","Senior Java Developers","APG Armenia","SE-0527","NA","Residents of Armenia","NA","01 August 2005","Permanent","Yerevan, Armenia","The role involves the design and implementation of
Java components for multiple projects.","- To produce high quality, well documented code, with low turnaround;
- Mentorship of other Software Engineers.","- Excellent communication skills;
- Good written and verbal communication skills in English language;
- University degree in Computer Science or related discipline;
- Experience in the design, architecture and implementation of
client/server internet systems;
- Expert-level knowledge and experience in Java;
- Excellent understanding of object-oriented design and development
methodologies, source and revision control, quality assurance processes.","Very attractive; benefits","Please send your CV with contact details to:jobs@... or call Vahe by: (374 93) 54-48-74. Please indicate
the position title you are applying for in the subject of your e-mail.
Please clearly mention in your application letter that you learned of
this job opportunity through Career Center and mention the URL of its
website - www.careercenter.am, Thanks.","08 July  2005","18 July 2005","NA","APG is a wholly-owned subsidiary of LVFH, a gaming
software developer, based in Vancouver, Canada. LVFH is a public
company.","NA","2005","7","TRUE"
"APG Armenia
TITLE:  Intermediate Software Engineer
ANNOUNCEMENT CODE:  SE-0524
TERM:  Full-time
OPEN TO/ ELIGIBILITY CRITERIA:  Residents of Armenia
START DATE/ TIME:  01 August  2005
DURATION:  Permanent
LOCATION:  Yerevan, Armenia
JOB DESCRIPTION:  The role involves the design and the implementation of
multiple components of multiple projects.
JOB RESPONSIBILITIES:
- To produce high quality, well documented code, with low turnaround;
- Mentorship of intermediate-level Software Engineers.
REQUIRED QUALIFICATIONS:
- Excellent communication skills;
- Excellent written and verbal communication skills in English
language;
- BSc or equivalent university degree in Computer Science or related
discipline;
- Experience in the design, architecture and implementation of
client/server internet systems;
- Expert-level knowledge and experience in either Java and/or C++;
- Excellent understanding of object-oriented design and development
methodologies, source and revision control, quality assurance processes.
REMUNERATION/ SALARY:  Very attractive; benefits
APPLICATION PROCEDURES:  Please send your CV with contact details to:jobs@... or call Vahe by: (374 93) 54-48-74.
Please indicate the position title you are applying for in the subject
of your e-mail.
Please clearly mention in your application letter that you learned of
this job opportunity through Career Center and mention the URL of its
website - www.careercenter.am, Thanks.
OPENING DATE:  08 July  2005
APPLICATION DEADLINE:  18 July 2005
ABOUT COMPANY:  APG is a wholly-owned subsidiary of LVFH, a gaming
software developer, based in Vancouver, Canada. LVFH is a public
company.
----------------------------------
To place a free posting for job or other career-related opportunities
available in your organization, just go to the www.careercenter.am
website and follow the ""Post an Announcement"" link.","Jul 11, 2005","Intermediate Software Engineer","APG Armenia","SE-0524","Full-time","Residents of Armenia","NA","01 August  2005","Permanent","Yerevan, Armenia","The role involves the design and the implementation of
multiple components of multiple projects.","- To produce high quality, well documented code, with low turnaround;
- Mentorship of intermediate-level Software Engineers.","- Excellent communication skills;
- Excellent written and verbal communication skills in English
language;
- BSc or equivalent university degree in Computer Science or related
discipline;
- Experience in the design, architecture and implementation of
client/server internet systems;
- Expert-level knowledge and experience in either Java and/or C++;
- Excellent understanding of object-oriented design and development
methodologies, source and revision control, quality assurance processes.","Very attractive; benefits","Please send your CV with contact details to:jobs@... or call Vahe by: (374 93) 54-48-74.
Please indicate the position title you are applying for in the subject
of your e-mail.
Please clearly mention in your application letter that you learned of
this job opportunity through Career Center and mention the URL of its
website - www.careercenter.am, Thanks.","08 July  2005","18 July 2005","NA","APG is a wholly-owned subsidiary of LVFH, a gaming
software developer, based in Vancouver, Canada. LVFH is a public
company.","NA","2005","7","TRUE"
"APG Armenia
TITLE:  Software Development Manager
ANNOUNCEMENT CODE:  DM-0523
TERM:  Full-time
OPEN TO/ ELIGIBILITY CRITERIA:  Residents of Armenia
START DATE/ TIME:  01 August  2005
DURATION:  Permanent
LOCATION:  Yerevan, Armenia
JOB DESCRIPTION:  The role requires management and hands-on technical
leadership of a team of up to 30 people, working concurrently on
multiple components of multiple projects.
JOB RESPONSIBILITIES:
- Manage the team;
- Define, maintain, oversee and enforce engineering processes;
- Provide project leadership for key projects;
- Train and mentor project leaders;
- Take responsibility for release dates, milestones and budgets.
REQUIRED QUALIFICATIONS:
- Excellent communication skills;
- Excellent written and verbal communication skills in English
language;
- MSc or equivalent university degree in Computer Science;
- Software development leadership experience;
- Software design and architecture of client/server internet systems;
- Software development of client/server systems;
- Expert-level knowledge of Java and/or C/C++;
- Excellent understanding of project management,
including project management tools, object-oriented design and
development methodologies, source control, revision control and release
methodologies, quality assurance processes, technical support.
REMUNERATION/ SALARY:  Very attractive; benefits
APPLICATION PROCEDURES:  Please send your CV with contact details to:jobs@... or call Vahe by: (374 93) 54-48-74. Please indicate
the position title you are applying for in the subject of your e-mail.
Please clearly mention in your application letter that you learned of
this job opportunity through Career Center and mention the URL of its
website - www.careercenter.am, Thanks.
OPENING DATE:  08 July  2005
APPLICATION DEADLINE:  18 July 2005
ABOUT COMPANY:  APG is a wholly-owned subsidiary of LVFH, a gaming
software developer, based in Vancouver, Canada. LVFH is a public
company.
----------------------------------
To place a free posting for job or other career-related opportunities
available in your organization, just go to the www.careercenter.am
website and follow the ""Post an Announcement"" link.","Jul 11, 2005","Software Development Manager","APG Armenia","DM-0523","Full-time","Residents of Armenia","NA","01 August  2005","Permanent","Yerevan, Armenia","The role requires management and hands-on technical
leadership of a team of up to 30 people, working concurrently on
multiple components of multiple projects.","- Manage the team;
- Define, maintain, oversee and enforce engineering processes;
- Provide project leadership for key projects;
- Train and mentor project leaders;
- Take responsibility for release dates, milestones and budgets.","- Excellent communication skills;
- Excellent written and verbal communication skills in English
language;
- MSc or equivalent university degree in Computer Science;
- Software development leadership experience;
- Software design and architecture of client/server internet systems;
- Software development of client/server systems;
- Expert-level knowledge of Java and/or C/C++;
- Excellent understanding of project management,
including project management tools, object-oriented design and
development methodologies, source control, revision control and release
methodologies, quality assurance processes, technical support.","Very attractive; benefits","Please send your CV with contact details to:jobs@... or call Vahe by: (374 93) 54-48-74. Please indicate
the position title you are applying for in the subject of your e-mail.
Please clearly mention in your application letter that you learned of
this job opportunity through Career Center and mention the URL of its
website - www.careercenter.am, Thanks.","08 July  2005","18 July 2005","NA","APG is a wholly-owned subsidiary of LVFH, a gaming
software developer, based in Vancouver, Canada. LVFH is a public
company.","NA","2005","7","TRUE"
"Manet Tiles
TITLE:  Export Manager
START DATE/ TIME:  ASAP
DURATION:  Permanent
LOCATION:  Yerevan, Armenia
JOB DESCRIPTION:  The incumbent is responsible for finding potential
buyers and export of handmade ceramic tiles and mosaics all over the
world.
JOB RESPONSIBILITIES:
- Market research and sales of trade handmade ceramic tiles and mosaics
all over the world;
- Find and negotiate deals with potential buyers;
- Support and control the company's representatives in Russia and USA;
- Client portfolio monitoring;
- Schedule orders and monitor, supervise shipments/deliveries.
REQUIRED QUALIFICATIONS:
- MBA, Master's degree or equivalent in marketing, sales, economics or
other relevant fields;
- Strong character, sharp, goal oriented person with ability to sell;
- Perfect knowledge of Russian and English languages, knowledge of any
other foreign language is a plus;
- Ability to coordinate marketing and logistics;
- At least 5-8 years of work experience in export and sales;
- Good communication and analytical skills; 
- Computer skills, including internet navigation and various office
applications.
REMUNERATION/ SALARY:  Competitive
APPLICATION PROCEDURES:  Please send your resume and cover letter to
Arman Balyan at: marketing@.... 
Tel: (37410) 443615, Fax: 443616, 
34/1 Arshakouniats str., Yerevan, 375026.
Selected candidates will be invited for an interview.
Please clearly mention in your application letter that you learned of
this job opportunity through Career Center and mention the URL of its
website - www.careercenter.am, Thanks.
OPENING DATE:  11 July 2005
APPLICATION DEADLINE:  28 July 2005
ABOUT COMPANY:  Manet Tiles is a trademark of Arax-Gold PT JV LTD and it
is US-Armenian manufacturing company.
----------------------------------
To place a free posting for job or other career-related opportunities
available in your organization, just go to the www.careercenter.am
website and follow the ""Post an Announcement"" link.","Jul 11, 2005","Export Manager","Manet Tiles","NA","NA","NA","NA","ASAP","Permanent","Yerevan, Armenia","The incumbent is responsible for finding potential
buyers and export of handmade ceramic tiles and mosaics all over the
world.","- Market research and sales of trade handmade ceramic tiles and mosaics
all over the world;
- Find and negotiate deals with potential buyers;
- Support and control the company's representatives in Russia and USA;
- Client portfolio monitoring;
- Schedule orders and monitor, supervise shipments/deliveries.","- MBA, Master's degree or equivalent in marketing, sales, economics or
other relevant fields;
- Strong character, sharp, goal oriented person with ability to sell;
- Perfect knowledge of Russian and English languages, knowledge of any
other foreign language is a plus;
- Ability to coordinate marketing and logistics;
- At least 5-8 years of work experience in export and sales;
- Good communication and analytical skills; 
- Computer skills, including internet navigation and various office
applications.","Competitive","Please send your resume and cover letter to
Arman Balyan at: marketing@.... 
Tel: (37410) 443615, Fax: 443616, 
34/1 Arshakouniats str., Yerevan, 375026.
Selected candidates will be invited for an interview.
Please clearly mention in your application letter that you learned of
this job opportunity through Career Center and mention the URL of its
website - www.careercenter.am, Thanks.","11 July 2005","28 July 2005","NA","Manet Tiles is a trademark of Arax-Gold PT JV LTD and it
is US-Armenian manufacturing company.","NA","2005","7","FALSE"
"Intracom Armenia LLC
TITLE:  Mechanic
OPEN TO/ ELIGIBILITY CRITERIA:  All eligible candidates
START DATE/ TIME:  Immediately
DURATION:  Long term
LOCATION:  Yerevan, Armenia
JOB DESCRIPTION:  N/A
JOB RESPONSIBILITIES:  Job responsibilities may include but are not
limited to:
- Maintenance of gas and diesel engines;
- Maintenance of electrical part of car engines;
- Troubleshooting and repairing.
REQUIRED QUALIFICATIONS:
- Degree as a mechanic;
- Experience in gas and diesel engine maintenance of minimum 2-3 years
or in a similar job position;
- Experience in maintenance of electrical part of car engines;
- Knowledge of basic electrical systems and wiring principles;
- Knowledge of basic electrical troubleshooting and repairing
principles;
- Driving licence availability;
- Average English language skills will be an advantage.
REMUNERATION/ SALARY:  Based on experience and qualifications
APPLICATION PROCEDURES:  If you meet the above-listed requirements and
are confident that your background qualifies for the position, please
submit your comprehensive resume with a cover letter to:intracom@... or fax to: (374 1)- 540844, mentioning the position
you are applying for. No phone calls, please.
Please clearly mention in your application letter that you learned of
this job opportunity through Career Center and mention the URL of its
website - www.careercenter.am, Thanks.
OPENING DATE:  12 July 2005
APPLICATION DEADLINE:  22 July 2005
ABOUT COMPANY:  Intracom Armenia LLC is a branch office of Intracom S.A.
and is implementing activities in the field of telecommunications.
----------------------------------
To place a free posting for job or other career-related opportunities
available in your organization, just go to the www.careercenter.am
website and follow the ""Post an Announcement"" link.","Jul 11, 2005","Mechanic","Intracom Armenia LLC","NA","NA","All eligible candidates","NA","Immediately","Long term","Yerevan, Armenia","N/A","Job responsibilities may include but are not
limited to:
- Maintenance of gas and diesel engines;
- Maintenance of electrical part of car engines;
- Troubleshooting and repairing.","- Degree as a mechanic;
- Experience in gas and diesel engine maintenance of minimum 2-3 years
or in a similar job position;
- Experience in maintenance of electrical part of car engines;
- Knowledge of basic electrical systems and wiring principles;
- Knowledge of basic electrical troubleshooting and repairing
principles;
- Driving licence availability;
- Average English language skills will be an advantage.","Based on experience and qualifications","If you meet the above-listed requirements and
are confident that your background qualifies for the position, please
submit your comprehensive resume with a cover letter to:intracom@... or fax to: (374 1)- 540844, mentioning the position
you are applying for. No phone calls, please.
Please clearly mention in your application letter that you learned of
this job opportunity through Career Center and mention the URL of its
website - www.careercenter.am, Thanks.","12 July 2005","22 July 2005","NA","Intracom Armenia LLC is a branch office of Intracom S.A.
and is implementing activities in the field of telecommunications.","NA","2005","7","FALSE"
"UniCAD
TITLE:  Driver
ANNOUNCEMENT CODE:  ADMIN_D_0001
LOCATION:  Yerevan, Armenia
JOB DESCRIPTION:  Driver will be in charge of providing UniCAD staff
transportation support.
JOB RESPONSIBILITIES:
- Provide UniCAD staff with transportation support; 
- Meet and see off guests at/from the airport;
- Serve as a driver to support UniCAD administration in day to day
activities;
- Drive outside the town when needed.
REQUIRED QUALIFICATIONS:
- Drivers license: C class license;  
- Continuous driver work during last 2 years and general 5 years of
experience as a Driver;
- Technical education in the sphere of machines/mechanics support is
desirable - college degree; practical skills in understanding Ford 350
XLT, 2001 car usage and overall ability to identify problems connected
with car disrepair;
- Strong teamwork and communication skills;
- Ability to work under pressure;
- Knowledge of English language is preferable.
APPLICATION PROCEDURES:  To apply, please visit our website:http://www.unicad.am/jobs and fill in the submission form or leave your
resume and cover letter at: 13A Vagharshyan Str.
Please clearly mention in your application letter that you learned of
this job opportunity through Career Center and mention the URL of its
website - www.careercenter.am, Thanks.
OPENING DATE:  12 July 2005
APPLICATION DEADLINE:  Open
ABOUT COMPANY:  UniCAD is a software start-up company specialized in the
development of Electronic Design Automation (EDA) CAD tools, which is
located in Yerevan, Armenia. UniCAD is a fully owned subsidiary of
E-Z-CAD that is situated in the heart of Silicon Valley in Mountain
View, CA, USA.
ADDITIONAL NOTES:  UniCAD offers compensation and a benefit package that
includes full Medical Insurance coverage.
UniCAD provides an opportunity to join a team of software developers
utilizing the advancements in software design for building EDA CAD
tools.
----------------------------------
To place a free posting for job or other career-related opportunities
available in your organization, just go to the www.careercenter.am
website and follow the ""Post an Announcement"" link.","Jul 12, 2005","Driver","UniCAD","ADMIN_D_0001","NA","NA","NA","NA","NA","Yerevan, Armenia","Driver will be in charge of providing UniCAD staff
transportation support.","- Provide UniCAD staff with transportation support; 
- Meet and see off guests at/from the airport;
- Serve as a driver to support UniCAD administration in day to day
activities;
- Drive outside the town when needed.","- Drivers license: C class license;  
- Continuous driver work during last 2 years and general 5 years of
experience as a Driver;
- Technical education in the sphere of machines/mechanics support is
desirable - college degree; practical skills in understanding Ford 350
XLT, 2001 car usage and overall ability to identify problems connected
with car disrepair;
- Strong teamwork and communication skills;
- Ability to work under pressure;
- Knowledge of English language is preferable.","NA","To apply, please visit our website:http://www.unicad.am/jobs and fill in the submission form or leave your
resume and cover letter at: 13A Vagharshyan Str.
Please clearly mention in your application letter that you learned of
this job opportunity through Career Center and mention the URL of its
website - www.careercenter.am, Thanks.","12 July 2005","Open","UniCAD offers compensation and a benefit package that
includes full Medical Insurance coverage.
UniCAD provides an opportunity to join a team of software developers
utilizing the advancements in software design for building EDA CAD
tools.","UniCAD is a software start-up company specialized in the
development of Electronic Design Automation (EDA) CAD tools, which is
located in Yerevan, Armenia. UniCAD is a fully owned subsidiary of
E-Z-CAD that is situated in the heart of Silicon Valley in Mountain
View, CA, USA.","NA","2005","7","FALSE"
